,ori,county,name,region,lat,lon,"lat,lon"
31,TX0575000,DALLAS,Hospital District: Dallas County,South,32.812763,-96.838455,"32.812763,-96.838455"
32,TX0570800,DALLAS,Desoto Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
140,TX0572800,DALLAS,University of Texas: Dallas,South,32.766987,-96.778424,"32.766987,-96.778424"
164,TX0570400,COLLIN; DALLAS; DENTON,Carrollton Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
190,TX0571500,DALLAS,Irving Police Department,South,32.815025,-96.94995,"32.815025,-96.94995"
229,TX0570600,DALLAS,Cockrell Hill Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
258,TX0571700,DALLAS,Lancaster Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
285,TX0572400,DALLAS,University Park Police Department,South,32.845383,-96.797325,"32.845383,-96.797325"
336,TX0570000,DALLAS,Dallas County Sheriff's Office,South,32.766987,-96.778424,"32.766987,-96.778424"
349,TX0571100,ROCKWALL; COLLIN; DALLAS,Garland Police Department,South,32.908943,-96.65579,"32.908943,-96.65579"
355,TX0572600,DALLAS,University of Texas: Southwestern Medical School,South,32.81252,-96.838135,"32.81252,-96.838135"
393,TX0570200,DALLAS,Balch Springs Police Department,South,32.719345,-96.61623,"32.719345,-96.61623"
407,TX0571300,DALLAS,Highland Park Police Department,South,32.8289,-96.79652,"32.8289,-96.79652"
437,TX0572000,COLLIN; DALLAS,Richardson Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
493,TX0576800,DALLAS,Independent School District: Cedar Hill,South,32.588375,-96.95975,"32.588375,-96.95975"
497,TX0572200,KAUFMAN; DALLAS,Seagoville Police Department,South,32.64949,-96.54345,"32.64949,-96.54345"
525,TX0573300,ROCKWALL; DALLAS,Rowlett Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
564,TX0575500,DALLAS; ELLIS,Ovilla Police Department,South,32.527256,-96.88891,"32.527256,-96.88891"
568,TX0570900,DALLAS,Duncanville Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
655,TX0700200,DALLAS; ELLIS,Ferris Police Department,South,32.534283,-96.666824,"32.534283,-96.666824"
656,TX0430800,DALLAS; ROCKWALL; COLLIN,Wylie Police Department,South,33.02303,-96.51876,"33.02303,-96.51876"
712,TX0570500,ELLIS; DALLAS,Cedar Hill Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
724,TX0610600,DALLAS; DENTON,Lewisville Police Department,South,33.205005,-97.119046,"33.205005,-97.119046"
783,TX0570700,DENTON; DALLAS,Coppell Police Department,South,32.97545,-96.99245,"32.97545,-96.99245"
806,TX0571800,KAUFMAN; DALLAS,Mesquite Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
853,TX0574700,ELLIS; DALLAS,Glenn Heights Police Department,South,32.564953,-96.84331,"32.564953,-96.84331"
864,TX0570100,DALLAS,Addison Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
876,TX0571200,ELLIS; TARRANT; DALLAS,Grand Prairie Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
937,TX0571400,DALLAS,Hutchins Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
960,TX0572500,DALLAS,Wilmer Police Department,South,32.5892,-96.68492,"32.5892,-96.68492"
1049,TXDPD0000,DENTON; COLLIN; DALLAS,Dallas Police Department,South,32.76778,-96.7956,"32.76778,-96.7956"
1104,TX0571000,DALLAS,Farmers Branch Police Department,South,32.924255,-96.85554,"32.924255,-96.85554"
1126,TX0572100,COLLIN; DALLAS,Sachse Police Department,South,32.973286,-96.58616,"32.973286,-96.58616"
