,ori,county,name,region,lat,lon,"lat,lon"
0,TX0575000,DALLAS,Hospital District: Dallas County,South,32.812763,-96.838455,"32.812763,-96.838455"
1,TX0570800,DALLAS,Desoto Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
2,TX0572800,DALLAS,University of Texas: Dallas,South,32.766987,-96.778424,"32.766987,-96.778424"
3,TX0570400,COLLIN; DALLAS; DENTON,Carrollton Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
4,TX0571500,DALLAS,Irving Police Department,South,32.815025,-96.94995,"32.815025,-96.94995"
5,TX0570600,DALLAS,Cockrell Hill Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
6,TX0571700,DALLAS,Lancaster Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
7,TX0572400,DALLAS,University Park Police Department,South,32.845383,-96.797325,"32.845383,-96.797325"
8,TX0570000,DALLAS,Dallas County Sheriff's Office,South,32.766987,-96.778424,"32.766987,-96.778424"
9,TX0571100,ROCKWALL; COLLIN; DALLAS,Garland Police Department,South,32.908943,-96.65579,"32.908943,-96.65579"
10,TX0572600,DALLAS,University of Texas: Southwestern Medical School,South,32.81252,-96.838135,"32.81252,-96.838135"
11,TX0570200,DALLAS,Balch Springs Police Department,South,32.719345,-96.61623,"32.719345,-96.61623"
12,TX0571300,DALLAS,Highland Park Police Department,South,32.8289,-96.79652,"32.8289,-96.79652"
13,TX0572000,COLLIN; DALLAS,Richardson Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
14,TX0576800,DALLAS,Independent School District: Cedar Hill,South,32.588375,-96.95975,"32.588375,-96.95975"
15,TX0572200,KAUFMAN; DALLAS,Seagoville Police Department,South,32.64949,-96.54345,"32.64949,-96.54345"
16,TX0573300,ROCKWALL; DALLAS,Rowlett Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
17,TX0575500,DALLAS; ELLIS,Ovilla Police Department,South,32.527256,-96.88891,"32.527256,-96.88891"
18,TX0570900,DALLAS,Duncanville Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
19,TX0700200,DALLAS; ELLIS,Ferris Police Department,South,32.534283,-96.666824,"32.534283,-96.666824"
20,TX0430800,DALLAS; ROCKWALL; COLLIN,Wylie Police Department,South,33.02303,-96.51876,"33.02303,-96.51876"
21,TX0570500,ELLIS; DALLAS,Cedar Hill Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
22,TX0610600,DALLAS; DENTON,Lewisville Police Department,South,33.205005,-97.119046,"33.205005,-97.119046"
23,TX0570700,DENTON; DALLAS,Coppell Police Department,South,32.97545,-96.99245,"32.97545,-96.99245"
24,TX0571800,KAUFMAN; DALLAS,Mesquite Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
25,TX0574700,ELLIS; DALLAS,Glenn Heights Police Department,South,32.564953,-96.84331,"32.564953,-96.84331"
26,TX0570100,DALLAS,Addison Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
27,TX0571200,ELLIS; TARRANT; DALLAS,Grand Prairie Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
28,TX0571400,DALLAS,Hutchins Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
29,TX0572500,DALLAS,Wilmer Police Department,South,32.5892,-96.68492,"32.5892,-96.68492"
30,TXDPD0000,DENTON; COLLIN; DALLAS,Dallas Police Department,South,32.76778,-96.7956,"32.76778,-96.7956"
31,TX0571000,DALLAS,Farmers Branch Police Department,South,32.924255,-96.85554,"32.924255,-96.85554"
32,TX0572100,COLLIN; DALLAS,Sachse Police Department,South,32.973286,-96.58616,"32.973286,-96.58616"
33,TX1550800,LIMESTONE; MCLENNAN,Mart Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
34,TX1550600,MCLENNAN,Lorena Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
35,TX1551700,MCLENNAN,Riesel Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
36,TX1550000,MCLENNAN,McLennan County Sheriff's Office,South,31.55447,-97.1364,"31.55447,-97.1364"
37,TX1551100,MCLENNAN,Robinson Police Department,South,31.468706,-97.11562,"31.468706,-97.11562"
38,TX1552600,FALLS; MCLENNAN,Bruceville-Eddy Police Department,South,31.306688,-97.24659,"31.306688,-97.24659"
39,TX1550400,MCLENNAN,Hewitt Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
40,TX1550200,MCLENNAN,Beverly Hills Police Department,South,31.525549,-97.1494,"31.525549,-97.1494"
41,TX1551300,MCLENNAN,West Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
42,TX1550700,MCLENNAN,McGregor Police Department,South,31.4415,-97.40726,"31.4415,-97.40726"
43,TX1551800,MCLENNAN,Texas State Technical College: Waco,South,31.549493,-97.201472,"31.549493,-97.201472"
44,TX1550500,MCLENNAN,Lacy-Lakeview Police Department,South,31.62393,-97.10311,"31.62393,-97.10311"
45,TX1551600,MCLENNAN,McLennan Community College,South,31.591955,-97.17414,"31.591955,-97.17414"
46,TX0180200,MCLENNAN; BOSQUE,Valley Mills Police Department,South,31.900764,-97.637632,"31.900764,-97.637632"
47,TX1551400,MCLENNAN,Woodway Police Department,South,31.506077,-97.22793,"31.506077,-97.22793"
48,TX1550100,MCLENNAN,Bellmead Police Department,South,31.589613,-97.10078,"31.589613,-97.10078"
49,TX1551200,MCLENNAN,Waco Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
