,ori,county,name,region,lat,lon,"lat,lon"
108,TX1550600,MCLENNAN,Lorena Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
110,TX1551700,MCLENNAN,Riesel Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
332,TX1550000,MCLENNAN,McLennan County Sheriff's Office,South,31.55447,-97.1364,"31.55447,-97.1364"
344,TX1551100,MCLENNAN,Robinson Police Department,South,31.468706,-97.11562,"31.468706,-97.11562"
462,TX1550400,MCLENNAN,Hewitt Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
540,TX1550200,MCLENNAN,Beverly Hills Police Department,South,31.525549,-97.1494,"31.525549,-97.1494"
559,TX1551300,MCLENNAN,West Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
572,TX1550700,MCLENNAN,McGregor Police Department,South,31.4415,-97.40726,"31.4415,-97.40726"
576,TX1551800,MCLENNAN,Texas State Technical College: Waco,South,31.549493,-97.201472,"31.549493,-97.201472"
645,TX1550500,MCLENNAN,Lacy-Lakeview Police Department,South,31.62393,-97.10311,"31.62393,-97.10311"
663,TX1551600,MCLENNAN,McLennan Community College,South,31.591955,-97.17414,"31.591955,-97.17414"
1014,TX1551400,MCLENNAN,Woodway Police Department,South,31.506077,-97.22793,"31.506077,-97.22793"
1081,TX1550100,MCLENNAN,Bellmead Police Department,South,31.589613,-97.10078,"31.589613,-97.10078"
1099,TX1551200,MCLENNAN,Waco Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
